frame_idx,ch1,ch2,ch3,ch4,back_lt_id,back_lt_x,back_lt_y,back_lt_z,back_rt_id,back_rt_x,back_rt_y,back_rt_z,back_rb_id,back_rb_x,back_rb_y,back_rb_z,back_lb_id,back_lb_x,back_lb_y,back_lb_z,tip_lt_id,tip_lt_x,tip_lt_y,tip_lt_z,tip_rt_id,tip_rt_x,tip_rt_y,tip_rt_z,tip_rb_id,tip_rb_x,tip_rb_y,tip_rb_z,tip_lb_id,tip_lb_x,tip_lb_y,tip_lb_z,pip_id,pip_x,pip_y,pip_z,dip_id,dip_x,dip_y,dip_z
37,0.122,0.353,0.468,0.0,100015,-63.63052,798.34418,700.1944,106888,-39.83376,793.4646,699.23431,106789,-38.30019,796.57245,723.53821,100017,-61.11535,801.91943,723.27112,105973,-64.02406,779.12311,835.79834,106901,-39.46528,786.1001,839.50574,106749,-41.33587,780.59894,863.93304,105974,-64.51391,774.4223,860.08899,100019,-47.49389,789.49481,791.29993,105972,-46.39275,780.92957,813.69446
38,0.122,0.353,0.468,0.0,100015,-63.98908,797.86963,699.99725,106888,-39.84481,793.40869,699.24054,106789,-38.28722,796.58496,723.55579,100017,-61.12622,801.89929,723.25348,105973,-64.00594,779.05927,835.81604,106901,-39.41885,785.96655,839.47302,106749,-41.3155,780.46027,863.91071,105974,-64.5597,774.35724,860.07971,100019,-47.5009,789.4491,791.31567,105972,-46.39415,780.84949,813.69141
39,0.089,0.348,0.678,0.0,100015,-63.99434,797.86731,699.99573,106888,-39.8368,793.42023,699.23578,106789,-38.30819,796.59009,723.5575,100017,-61.15244,801.91309,723.25488,105973,-64.02142,779.05664,835.82025,106901,-39.42751,785.88348,839.44751,106749,-41.31834,780.38165,863.90839,105974,-64.5822,774.36035,860.1048,100019,-47.49654,789.42847,791.3092,105972,-46.43744,780.8053,813.68298
40,0.088,0.346,0.464,0.0,100015,-63.59248,798.34772,700.18298,106888,-39.84167,793.42902,699.30768,106789,-38.31791,796.60712,723.57745,100017,-61.1492,801.93945,723.25378,105973,-64.72272,779.56946,836.20227,106901,-39.50683,785.80774,839.46381,106749,-41.3522,780.30737,863.90668,105974,-64.65341,774.33032,860.09674,100019,-47.60381,789.4408,791.33722,105972,-46.49081,780.81036,813.69385
41,0.089,0.348,0.466,0.0,100015,-63.55773,798.40131,700.21075,106888,-39.8213,793.41516,699.35846,106789,-38.32634,796.59412,723.60876,100017,-61.14971,801.98889,723.27069,105973,-64.86519,779.60138,836.27954,106901,-40.71576,786.32581,839.97339,106749,-41.41273,780.42487,864.06879,105974,-64.7142,774.19397,860.08588,100019,-47.61806,789.427,791.35352,105972,-46.53991,780.72668,813.72833
42,0.088,0.347,0.701,0.0,100015,-63.49891,798.57092,700.32996,106888,-39.82616,793.42517,699.40845,106789,-37.50235,797.57928,723.93298,100017,-61.16154,802.02441,723.29095,105973,-64.87104,779.50189,836.32263,106901,-40.64921,786.14624,839.97583,106749,-41.43818,780.23651,864.10767,105974,-64.71651,773.96442,860.07233,100019,-47.58606,789.35712,791.39496,105972,-46.52093,780.60602,813.75598
43,0.088,0.347,0.701,0.0,100015,-63.55981,798.50519,700.32819,106888,-39.83475,793.41461,699.46149,106789,-37.47962,797.57416,724.00635,100017,-61.15775,802.06708,723.33112,105973,-64.85278,779.37921,836.48871,106901,-40.53381,785.98096,840.05676,106749,-41.84434,780.28766,863.73041,105974,-64.64268,773.74078,860.1391,100019,-47.60716,789.24957,791.43481,105972,-46.4688,780.45624,813.78137
44,0.089,0.354,0.467,0.0,100015,-63.68112,798.5426,700.44434,106888,-39.84417,793.41199,699.56232,106789,-37.13356,797.94946,724.1886,100017,-61.18174,802.08295,723.38336,105973,-64.49167,778.87689,836.37274,106901,-38.82779,784.78998,839.35876,106749,-41.59386,779.80725,864.31915,105974,-64.5454,773.48389,860.2132,100019,-47.56823,789.10541,791.50348,105972,-46.38819,780.2583,813.79865
45,0.088,0.346,0.463,0.0,100015,-63.77171,798.60046,700.70526,106888,-39.8594,793.4278,699.67004,106789,-37.14801,797.92303,724.25836,100017,-61.22168,802.06207,723.43793,105973,-64.287,778.60779,836.51038,106901,-38.88241,784.42145,839.46088,106749,-41.11228,779.04163,864.16321,105974,-63.93767,772.54803,859.88953,100019,-47.53658,788.95636,791.59967,105972,-46.29737,779.95251,813.81818
46,0.089,0.354,0.696,0.0,100015,-63.76736,798.56354,700.65491,106888,-39.85733,793.40625,699.78387,106789,-37.23317,797.85736,724.33618,100017,-61.23177,802.05017,723.52008,105973,-64.19851,778.3327,836.66595,106901,-38.77097,784.05896,839.52911,106749,-40.6045,778.2832,864.0733,105974,-64.27832,772.59314,860.24115,100019,-47.59413,788.80353,791.73059,105972,-46.30946,779.68799,813.89423
