display_idx,frame_idx,tip_lt_z,tip_lt_residual_z,tip_lt_down_score,tip_rt_z,tip_rt_residual_z,tip_rt_down_score,tip_rb_z,tip_rb_residual_z,tip_rb_down_score,tip_lb_z,tip_lb_residual_z,tip_lb_down_score,consensus_down,consensus_down_smooth,active_points,is_click
87,87,773.54126,-0.4574996862743319,2.350973693006305,779.41449,-0.5924533333333102,2.0559637941767877,772.40216,-0.33540576470591077,0.8611164461920193,766.18408,-0.36916749019610506,1.680224599176559,6.948278532551671,6.861798793456537,4,0
88,88,773.54156,-0.3897304313724135,2.0027248520802963,779.44073,-0.4693038039216617,1.6286035963435939,772.15631,-0.2788382745096669,0.7158857994543218,766.02692,-0.296387607843144,1.3489750934585407,5.696189341336752,5.690237227977322,4,0
89,89,773.54437,-0.32178792156855707,1.6535856985948238,779.43689,-0.3442349019607036,1.1945826874520027,772.16541,-0.22005666666655088,0.5649706555488511,766.01996,-0.22259247058809706,1.0131047684478673,4.426243810043545,4.395529511908522,4,0
90,90,773.53253,-0.23143419607833948,1.1892810486343839,779.76337,-0.21497941176471613,0.7460332522646459,772.1864,-0.17286968627445276,0.44382340902670453,766.01154,-0.15050741176469273,0.6850176744195344,3.064155384345269,2.984143221616348,4,0
91,91,773.52661,-0.1396297647057736,0.7175215927625684,779.75262,-0.096042509803965,0.3332919434309801,772.17072,-0.07238878431360263,0.18585003375522355,766.01532,-0.04951607843133843,0.2253669005114591,1.4620304704602312,1.5087286182685,1,0
92,92,773.49561,0.04049525490199812,0.0,779.74719,0.13001066666674888,0.0,772.16779,0.007495450980513851,0.0,766.00952,0.04725427450989628,0.0,0.0,0.4873434901534104,0,0
93,93,773.50299,0.23230419607841668,0.0,779.72559,0.5073879607843992,0.0,772.16199,0.055093098039378674,0.0,765.99731,0.1482490196078743,0.0,0.0,0.0,0,0
94,94,774.05145,0.5774702352941858,0.0,780.3363,1.1183714117648833,0.0,772.18469,0.11124678431383472,0.0,766.0127,0.2541534509803114,0.0,0.0,0.0,0,0
95,95,774.10901,0.7717953333333298,0.0,781.42828,1.144365019608017,0.0,772.02985,0.15724258823536275,0.0,766.0423,0.34882007843157226,0.0,0.0,0.0,0,0
96,96,774.8869,0.9555650588235949,0.0,782.599,1.1769959607843248,0.0,772.03326,0.14732231372556726,0.0,766.09515,0.4270398823531423,0.0,0.0,0.0,0,0
97,97,774.11456,1.0102554117646605,0.0,779.69446,1.0683625882353454,0.0,771.99182,0.10413666666670451,0.0,766.05176,0.4700037254900735,0.0,0.0,0.0,0,0
98,98,774.08417,0.9980207843136668,0.0,779.65668,0.7196520392157026,0.0,771.63477,0.06628929411760964,0.0,765.94171,0.46839686274506676,0.0,0.0,0.017006942930086248,0,0
99,99,774.00549,0.803496470588243,0.0,779.63489,0.14309623529413784,0.0,771.5954,-0.019872666666628902,0.051020828790258745,765.80713,0.40074713725482525,0.0,0.051020828790258745,0.12971641289352726,0,0
100,100,773.87628,0.7518524705883465,0.0,779.55194,0.11704486274527426,0.0,771.49677,-0.13170137254905967,0.338128409890323,765.64075,0.3035667843137162,0.0,0.338128409890323,0.29715724049327474,0,0
101,101,773.76935,0.6810283921570317,0.0,779.45447,0.06746811764708127,0.0,771.32501,-0.1956551372550166,0.5023224827992425,765.41547,0.1985530196078571,0.0,0.5023224827992425,0.5305872156723779,1,0
102,102,773.68604,0.6104225882352239,0.0,779.36621,-0.02056447058816957,0.07136394479850743,771.1944,-0.26483999999993557,0.6799468095290608,765.27612,0.09981313725495511,0.0,0.7513107543275682,0.8667709330177453,1,0
103,103,773.62933,0.5353249411764409,0.0,779.26361,-0.1451421568627893,0.5036802102871132,771.12286,-0.3283491372549179,0.8429993516393121,765.16815,0.018103803921690087,0.0,1.3466795619264254,1.5256676293003604,2,0
104,104,773.58911,0.4595052549019556,0.0,779.17218,-0.29915372549021413,1.0381395358863807,771.07166,-0.3799347843137184,0.9754396783842605,765.08221,-0.10226184313717113,0.4654333573764463,2.4790125716470874,2.4310219842644014,3,0
105,105,773.53113,0.3911645882352559,0.0,779.11993,-0.450098431372453,1.5619560675117565,771.01434,-0.38536580392155884,0.9893832082696319,765.01642,-0.2012648627450062,0.9160345434383028,3.4673738192196915,3.4478375848752365,3,0
106,106,773.49133,0.3160889803922373,0.0,779.07642,-0.5844341960782913,2.028135347733433,770.90942,-0.39728094117651835,1.0199739784010793,764.58923,-0.29639682352922136,1.3490170376244186,4.397126363758931,4.341144267176314,3,0
107,107,773.46387,0.2660367843136555,0.0,779.01086,-0.6534216470587353,2.267539353902714,770.92749,-0.4258465882353448,1.093313053237913,764.54895,-0.3950619215685265,1.7980802114096937,5.15893261855032,5.1246520679619545,3,0
108,108,773.3927,-0.05095133333338708,0.2618258501243236,778.93274,-0.6003705098038381,2.083438410757865,770.82745,-0.47141086274507416,1.2102941855495135,764.47955,-0.49706564705866185,2.26233877514491,5.817897221576613,6.08564857828827,3,0
