frame_idx,ch1,ch2,ch3,ch4,back_lt_id,back_lt_x,back_lt_y,back_lt_z,back_rt_id,back_rt_x,back_rt_y,back_rt_z,back_rb_id,back_rb_x,back_rb_y,back_rb_z,back_lb_id,back_lb_x,back_lb_y,back_lb_z,tip_lt_id,tip_lt_x,tip_lt_y,tip_lt_z,tip_rt_id,tip_rt_x,tip_rt_y,tip_rt_z,tip_rb_id,tip_rb_x,tip_rb_y,tip_rb_z,tip_lb_id,tip_lb_x,tip_lb_y,tip_lb_z,pip_id,pip_x,pip_y,pip_z,dip_id,dip_x,dip_y,dip_z
40,0.159,0.253,0.255,0.0,103780,-95.42681,848.77631,645.90839,103782,-99.52698,833.43256,628.9715,103785,-76.01778,826.98718,630.47736,103838,-72.08289,843.72174,647.78845,103816,-78.95643,830.71783,772.75641,103805,-84.57362,848.35535,756.35358,103804,-59.28634,851.76581,753.31287,103814,-54.55617,833.46954,770.47357,103778,-78.9291,876.6062,710.84796,103807,-73.68006,863.25287,732.53912
41,0.065,0.257,0.504,0.0,103780,-95.30953,848.71033,645.87976,103782,-99.45056,833.37897,628.95374,103785,-75.96171,826.84766,630.40277,103838,-72.07393,843.50769,647.66443,103816,-79.21049,834.1958,774.6438,103805,-84.6741,850.74146,756.96576,103804,-59.30092,854.03833,754.10431,103814,-54.76014,836.77618,772.18256,103778,-78.783,876.85303,710.63202,103807,-73.71252,864.12573,732.52356
42,0.065,0.265,0.307,0.0,103780,-95.23659,848.62073,645.79718,103782,-99.41714,833.29877,628.92285,103785,-75.93169,826.70032,630.31909,103838,-73.08228,842.81085,648.02753,103816,-79.3603,837.5907,776.20386,103805,-84.67123,852.9104,757.64929,103804,-59.8059,856.56958,754.96912,103814,-54.93496,840.10498,773.93091,103778,-78.67052,877.10016,710.50757,103807,-73.57353,864.91211,732.56079
43,0.183,0.27,0.321,0.0,103780,-95.17055,848.51819,645.75,103782,-99.37585,833.2511,628.89246,103785,-75.87442,826.58679,630.2489,103838,-71.90425,843.25494,647.6557,103816,-79.34197,840.54803,777.56152,103805,-84.75757,854.97894,758.11322,103804,-59.47263,858.28125,755.30835,103814,-54.99873,843.19452,775.2135,103778,-78.52589,877.40674,710.37653,103807,-73.51775,865.55841,732.66382
44,0.183,0.27,0.321,0.0,103780,-95.13367,848.44312,645.70001,103782,-99.32323,833.22174,628.8941,103785,-75.76716,826.54419,630.2113,103838,-72.41689,842.60797,648.1225,103816,-79.36995,842.8313,778.49481,103805,-84.63245,856.45233,758.59601,103804,-59.7814,859.93622,755.89319,103814,-55.06667,845.48065,776.26855,103778,-78.51015,877.38312,710.27155,103807,-73.62691,865.93921,732.73621
45,0.065,0.278,0.572,0.0,103780,-95.09343,848.43542,645.67578,103782,-99.29148,833.22565,628.89801,103785,-75.64855,826.58258,630.19855,103838,-72.34993,842.58008,648.07269,103816,-79.4662,844.75531,779.3692,103805,-84.709,857.67181,759.02612,103804,-59.46025,860.9425,756.08282,103814,-55.94497,846.60345,776.6687,103778,-78.46086,877.3598,710.28394,103807,-74.0274,866.44,733.04309
46,0.065,0.284,0.367,0.0,103780,-95.04358,848.46741,645.69611,103782,-99.26667,833.26801,628.87604,103785,-75.59991,826.60968,630.15338,103838,-72.3056,842.57886,648.06702,103816,-79.42262,846.17096,780.13953,103805,-84.65085,858.67889,759.3924,103804,-59.34362,861.91638,756.39014,103814,-55.88148,847.76477,777.17853,103778,-78.43106,877.03394,710.19348,103807,-74.04796,866.7962,733.23584
47,0.065,0.287,0.377,0.0,103780,-95.01007,848.51117,645.68488,103782,-99.23666,833.29633,628.86682,103785,-75.50947,826.70789,630.15796,103838,-72.28499,842.57037,648.02728,103816,-79.52137,847.82147,780.71771,103805,-84.55405,859.56525,759.68665,103804,-59.28489,862.80847,756.75409,103814,-55.67288,849.45605,777.98853,103778,-78.26798,877.0835,710.36487,103807,-73.93486,867.06061,733.41327
48,0.065,0.291,0.653,0.0,103780,-94.99239,848.53223,645.68689,103782,-99.25936,833.34906,628.86353,103785,-75.50993,826.78503,630.11523,103838,-72.27395,842.59888,647.95618,103816,-79.3018,849.67798,781.51361,103805,-84.48651,860.94464,760.03278,103804,-59.23711,864.02753,757.0426,103814,-54.90529,852.20874,779.216,103778,-78.2023,877.24292,710.65442,103807,-73.22182,867.65143,733.62183
49,0.065,0.291,0.653,0.0,103780,-94.9608,848.54218,645.685,103782,-99.13385,833.44421,628.91522,103785,-75.51465,826.80438,630.07385,103838,-72.24537,842.58087,647.94305,103816,-79.13393,851.95831,782.37958,103805,-84.20947,862.23431,760.30859,103804,-59.32689,865.51569,757.60193,103814,-54.88385,854.50055,779.82623,103778,-77.80829,876.50189,710.49072,103807,-73.53339,867.67407,733.74817
